JobID,Skill
1,Salesforce
1,SQL
1,BI
1,Combining Data
1,Commercial Data
1,Multitask
1,Meeting Targets
1,Looker
2,Attention to detail
2,Excel skills
2,Communication
2,Process improvement
2,Collaboration
2,Procurement
2,Master data management
2,Service Level Agreements
2,Communication
3,SQL
3,Python
3,Excel
3,Visualisation
3,Power BI
3,Tableau
3,Attention to detail
3,Interpret data
3,Presentation
3,Problem Solving
3,Diverse datasets
4,Statistical analysis
4,Data modelling
4,Interpret data
4,Project Management
4,Bill of Materials
4,Inventory
4,IT Skills
4,Excel
4,Visualisation
4,Power BI
4,Power Query
4,Azure
4,SAP
4,Automative
5,Power BI
5,DAX
5,SQL
5,Data Analysis
5,ETL
5,ELT
5,Python
5,Scripting
5,Airflow
5,Azure Cloud
5,Data modelling
5,Data warehousing
5,Communication
5,Collaboration
5,Masters degree
5,SAS
5,Statistical software
5,Data extraction
5,Data cleansing
5,Machine learning
5,Communication
5,Presentation
6,Bachelors degree
6,Python
6,R
6,SQL
6,Visualisation
6,Analytical
6,Problem Solving
6,Attention to detail
6,Organisational skills
6,Communication
6,Teamwork
6,Willingness to learn
6,Adapt
7,GCP
7,Power BI
7,Looker
7,BigQuery
7,LookML
7,SQL
7,PostgresSQL
7,Python
7,BI
7,Data Engineering
7,Energy markets
8,Data Analysis
8,Data cleansing
8,Visualisation
8,Reporting
8,Stakeholder management
8,Presentation
8,Collaboration
8,PowerPoint
8,Excel
8,Power BI
9,SQL
9,Data Studio
9,BigQuery
9,Teamwork
9,Data Strategies
9,Data mindset
9,Data Analysis
9,Data Engineering
9,Support Juniors
9,Google Analytics
9,Python
9,Stakeholder management
9,Data collection
9,Requirements gathering
10,Data Analysis
10,Data quality
10,Insurance
10,Delegate
10,IT Skills
10,Excel
11,Teamwork
11,Collaboration
11,Masters degree
11,Excel
11,Mathematics
11,Communication
11,Deligence
11,Think independantly
11,Insurance
12,SQL
12,Power BI
12,ESG Data
12,Tableau
12,SRSS
13,Data Analysis
13,Power BI
13,SQL
13,Python
13,Excel
13,MS Sharepoint
13,MS Teams
13,Finance
13,Communication
13,Presentation
13,Stakeholder management
13,Decision making
13,Business Strategy
13,German
14,Python
14,C#
14,Energy markets
14,Problem Solving
14,Interpersonal skills
14,Organisational skills
14,Project Management
14,Writing
14,Data Analysis
14,Presentation
15,Subscriptions
15,Power BI
15,Analytics
15,Stakeholder management
15,Data Analysis
15,DAX
15,M Language
15,Requirements gathering
15,Segmentation
15,Adobe Analytics
15,Google Analytics
15,Marketing
15,Social Media
15,SQL
15,Data modelling
15,Attention to detail
15,Data quality
15,data migration
15,ETL
15,data management
15,Proactive
15,Communication
15,Degree
16,Excel
16,Visualisation
16,Complex data
16,Data Analysis
16,Presentation
16,Actionable insights
16,Attention to detail
16,Problem Solving
16,Communication
16,Stakeholder management
16,Presentation
16,Salesforce
16,BI
16,Independence
16,Diplomatically
17,SQL
17,Python
17,Automate
17,Process improvement
17,Energy markets
18,analytical
18,Collaboration
18,degree
18,Problem Solving
18,Data modelling
18,Data Analysis
18,Visualisation
18,excel
18,Tableau
18,Power BI
18,sql
18,Communication
18,Presentation
18,Complex data
18,Stakeholder management
18,time series analysis
18,pattern recognition
18,Automative
18,Organisational skills
18,Proactive
18,Process improvement
19,Data Analysis
19,SQL
19,R
19,C++
19,Python
19,Visualisation
19,Tableau
19,Data Analysis
19,segmentation
19,predictive modelling
19,optimisation
19,Problem Solving
19,proactive
19,curious
19,Communication
19,Presentation
19,Project Management
19,Collaboration
20,sql
20,Python
20,R
20,experimentation
20,product analytics
20,Communication
20,Stakeholder management
21,Python
21,R
21,SQL
21,analytical skills
21,statistics
21,predictive modelling
21,Segmentation
21,time series analysis
21,Databricks
21,Snowflake
21,BigQuery
21,Rigour/Accuracy
21,Emapthy
21,Data governance
21,Data quality
21,Attention to detail
21,Jira/Confluence
21,Documentation
21,curious
21,Business problems
21,Storytelling
21,Visualisation
22,Support Juniors
22,Artifical intelligence
22,Project Management
22,Independence
22,qualitative methods
22,quantitative methods
22,Mathematics
22,statistics
22,Python
22,Scikit lean
22,Keras
22,Tensor flow
22,PySpark
22,Teamwork
22,MLOps
22,Stakeholder management
22,Communication
22,Finance
23,Masters degree
23,Python
23,SQL
23,Communication
23,Adapt
23,Collaboration
24,Machine learning
24,Artifical intelligence
24,Data science
24,data management
24,Statistics
24,Requirements gathering
24,quantitative methods
24,NLP
24,Image recognition
24,OCR
24,Motion capture
24,Python
24,R
24,C++
24,Numpy
24,Pandas
