JobID,Job Title,Company,Recruiter,Industry,Role,Seniority,SalaryMin,SalaryMax,SalaryPeriod,ContractType,ContractLength (Months),Location,Remote,Office Days,PostedOn,Link
118,Supply Chain Data Analyst,Nixor,TRUE,Manufacturing,Data Analyst,Base,,220,Daily,Contract,12 Months,England,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4101174928/
89,Strategic Planning Data Analyst,Loughborough University,FALSE,Academia,Data Analyst,Base,34900,42500,Annual,Contract,12 Months,Loughborough,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4098423720/
149,Smart Data Analyst,SSE Plc,FALSE,Energy,Data Analyst,Base,39415,45136,Annual,Permanent,,Reading,Hybrid,2,Aug-24,https://www.linkedin.com/jobs/view/3958426197/
132,Senior/Lead Data Analyst - Growth,Quest Search and Selection,TRUE,Retail,Data Analyst,Senior,60000,85000,Annual,,,London,Hybrid,3,Feb-25,https://www.linkedin.com/jobs/view/4160751103/
182,Senior Investment Data Analyst,Hawksowrth,TRUE,Finance,Data Analyst,Senior,,100000,Annual,,,London,Hybrid,2,Mar-24,https://www.linkedin.com/jobs/view/4180589308/
41,Senior Data Analyst - Tableau,Harnham,TRUE,,Data Analyst,Senior,55000,60000,Annual,,,London,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4096163003/
159,Senior Data Analyst - Revenue Analytics,Remote,FALSE,Technology,Data Analyst,Senior,31445,70700,Annual,,,United Kingdom,Remote,,Mar-24,https://www.linkedin.com/jobs/view/4145700485/
180,Senior Data Analyst - Retail,Sphere Digital Recruitment,TRUE,Sales,Data Analyst,Senior,50000,55000,Annual,,,London,Hybrid,4,Mar-24,https://www.linkedin.com/jobs/view/4187874503/
37,Senior Data Analyst - MMM,Silverdrum,TRUE,Marketing,Data Analyst,Senior,45000,50000,Annual,,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4106855308/
175,Senior Data Analyst - Investment Reference Data,Hawksowrth,TRUE,Finance,Data Analyst,Senior,80000,100000,Annual,,,London,Hybrid,2,Mar-24,https://www.linkedin.com/jobs/view/4183013400/
39,Senior Data Analyst - Customer Data ,Talent Hub,TRUE,,Data Analyst,Senior,45000,50000,Annual,,,London,Hybrid,2,Dec-24,https://www.linkedin.com/jobs/view/4118718116/
30,Senior Data Analyst ,Amnesty International UK,FALSE,Voluntary,Data Analyst,Senior,,56700,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4104814432/
31,Senior Data Analyst ,developrec,TRUE,,Data Analyst,Senior,60000,70000,Annual,,,London,Hybrid,,Jan-25,https://www.linkedin.com/jobs/view/4130607522/
32,Senior Data Analyst ,FDM Group,TRUE,Finance,Data Analyst,Senior,60000,70000,Annual,,,London,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4102993085/
33,Senior Data Analyst ,Fruition IT,TRUE,Finance,Data Analyst,Senior,50000,60000,Annual,,,London,Hybrid,1,Dec-24,https://www.linkedin.com/jobs/view/4088127217/
34,Senior Data Analyst ,Harnham,TRUE,Media,Data Analyst,Senior,40000,50000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4103362120/
35,Senior Data Analyst ,Hippo,FALSE,Technology,Data Analyst,Senior,57000,81000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4106737402/
36,Senior Data Analyst ,Maxwell Bond,TRUE,,Data Analyst,Senior,65000,75000,Annual,,,London,On-site,,Dec-24,https://www.linkedin.com/jobs/view/4084137890/
38,Senior Data Analyst ,Oscar,TRUE,Finance,Data Analyst,Senior,60000,70000,Annual,,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4087097791/
