Skill,Coefficient,SalaryImpact
Skill_codebase,26295.284636222004,0.22597111534469974
Skill_ai/ml,24943.12144137538,0.21435116790946085
Skill_graphql,23822.581294109266,0.20472169591973996
Skill_node,22630.412083310242,0.19447667252597262
Skill_machine_learning,21341.985300467928,0.18340445021742216
Skill_cicd,21113.095136483505,0.18143746007593714
Skill_fullstack,20181.82511724577,0.17343449955105478
Skill_ssas,19670.048129740328,0.16903649366238485
Skill_tensorflow,16616.21880094871,0.14279311090208535
Skill_ssrs,16133.150773796413,0.13864181828848113
Skill_mongodb,15524.27070406668,0.13340934751010988
Skill_terminal,14924.354248790793,0.12825390643435175
Skill_c/c++,12222.770642759651,0.10503758194509821
Skill_airflow,11965.113023860353,0.10282337584977681
Skill_ml,11555.492144931472,0.09930325852986274
Skill_shell,11130.477371479934,0.09565085226297938
Skill_frontend,10930.682851891124,0.09393389840391941
Skill_ruby,10877.489570702117,0.09347677670908268
Skill_keras,10772.05757234514,0.09257073645923011
Skill_matlab,10329.157851304202,0.08876463413578874
Skill_rust,10282.702090416566,0.08836541198447172
Skill_cognos,9570.41671842109,0.08224431756848605
Skill_jquery,9528.609108504166,0.08188503975980208
Skill_snowflake,9513.718266926257,0.08175707384780179
Skill_pandas,9383.514286295023,0.08063815313130838
Skill_datadog,9112.077574792764,0.07830553504817225
Skill_python,8545.097995528155,0.07343314025661314
Skill_saas,7971.854010997609,0.06850691168213446
Skill_aurora,7574.394694596361,0.06509130594620674
Skill_asp.net,7430.408119647279,0.06385394314956724
Skill_sas,7412.465227838648,0.06369974914366094
Skill_visio,7410.109274761091,0.06367950302911986
Skill_pl/sql,7204.151520738928,0.061909584808642885
Skill_azure,6933.712788034217,0.05958554295448058
Skill_golang,6780.100676695933,0.058265462163959295
Skill_go,6717.08816984778,0.05772395798744514
Skill_c++,6699.290579019124,0.057571012639804374
Skill_json,6471.199262228464,0.055610887470266296
Skill_powershell,6079.014044183234,0.052240605217405395
Skill_aws,6003.216831518469,0.05158923441374874
Skill_server,5921.905642766769,0.05089047871414644
Skill_selenium,5877.360013750157,0.050507671468974086
Skill_mysql,5055.908916391991,0.04344845065280337
Skill_nosql,4964.047597429148,0.042659031371352636
Skill_pyspark,4922.43197819618,0.042301403453498504
Skill_linux,4583.73157496328,0.039390748218346254
Skill_back-end,4483.769353766471,0.03853171303661407
Skill_javascript/typescript,4112.624617621726,0.03534224423484216
Skill_js,3731.6837760466287,0.03206859163735344
Skill_paas,3647.261313447866,0.03134309889987192
Skill_ios,3495.434449706442,0.030038359810199654
Skill_hadoop,3283.049854947136,0.02821321190160155
Skill_warehousing,2944.7596365405775,0.025306081630106787
Skill_data_lake,2846.0936103429003,0.024458185427614042
Skill_nlp,2553.5165219187647,0.021943895435695335
Skill_css,2535.301516309659,0.021787362993075196
Skill_backend,2531.6988241952727,0.021756402903972
Skill_programming,2394.358529599358,0.020576155571381517
Skill_ibm,2258.412657796888,0.019407891348244156
Skill_java,2227.5507712701165,0.019142676690309265
Skill_javascript,2181.4246896763134,0.018746287670436314
Skill_scala,2137.023804917917,0.018364724299286293
